問題文	選択肢A	選択肢B	選択肢C	選択肢D	正解	解説	Text	タグ	ファイル名
What is probably the most effective type of control for this task?	Steve is a security practitioner assigned to come up with a	pedestrians. ~) 39 vy	What is probably the most effective type of control for this task?	Administrative	Technical	Physical controls, such as fences, walls and bollards, will be most likely to ensure cars cannot collide with pedestrians by creating actual barriers between cars and pedestrians.	{{c1::Technical}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-51-05.png
Which concept does this task demonstrate?	Fe ntae te PERN Se oR Cee e Cy ETO SOT Fun wine Kuss	Chad is a security practitioner tasked with ensuring that the	> _ byanyone outside the organization. 27	Which concept does this task demonstrate?	Fe ntae te PERN Se oR Cee e Cy ETO SOT Fun wine Kuss	Preventing unauthorized modification is the definition of integrity.	{{c1::Fe ntae te PERN Se oR Cee e Cy ETO SOT Fun wine Kuss}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-51-22.png
Which of the following is an example of a ""Something you know"" 29 30	Which concept does this task demonstrate?	Which of the following is an example of a ""Something you know"" 29 30	°? authentication factor?	Fingerprint	User ID	A password is something the user knows and can present as an authentication factor to confirm an identity	{{c1::User ID}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-51-29.png
Which of the following is an example of a ""Something you are""	WING UF Wie tunUWiniy I> an CAaIpie Ula SUTTeuniy you KiUWw	Which of the following is an example of a ""Something you are""	Acredit card presented to a cash machine	A photograph of your face	Auser ID	A facial photograph is something you are, your appearance. Asystem collects transactional information and stores i record in order to show which users performed which actions.	{{c1::Auser ID}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-51-34.png
What is the European Union (EU) law that grants legal	AULNENUGAUUTT FacLur s	Asystem collects transactional information and stores it ina	Which concept does this demonstrate?	Multifactor authentication	AULNENUGAUUTT FacLur s	Non-repudiation describes the concept that users cannot deny having performed transactions that they did, in fact, conduct. A system that keeps a record of user transactions provides non-repudiation.	{{c1::AULNENUGAUUTT FacLur s}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-51-40.png
For which of the following systems would the security concept of	Which concept does this demonstrate?	What is the European Union (EU) law that grants legal	The General Data Protection Regulation	The Maastricht Treaty (the Treaty on European Union)	Which concept does this demonstrate?	The GDPR is the EU law that treats privacy as a human right.	{{c1::Which concept does this demonstrate?}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-51-44.png
For which of the following assets is integrity probably the MOST /\ aN aN	h of the following systems would the security concept of s	be considered MOST important? ES) v	3) Medical systems that monitor patient conditions in an intensive-care unit	Medical systems that store patient data	Medical systems that store patient data	Information that reflects patient conditions is data that necessarily must be kept available in real time, because that data is directly linked to patient well-being (and possibly a matter of life or death). This is, by far, the most important of the options listed.	{{c1::Medical systems that store patient data}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-51-49.png
For which of the following assets is integrity probably the MOST (100 (*)	For which of the following assets is integrity probably the MOST (100 (*)	important security aspect? v	One frame of a streaming video	Software that checks the spelling of product descriptions for a retail website	For which of the following assets is integrity probably the MOST (100 (*)	If a password file is modified, the impact to the environment could be significant; there is a possibility that all authorized users could be denied access, or that anyone (including unauthorized users) could be granted access. The integrity of the password file is probably the most crucial of the four options listed. In risk management, which concept reflects something a ©) (100) 36 security practitioner might need to protect?	{{c1::For which of the following assets is integrity probably the MOST (100 (*)}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-51-53.png
? security practitioner might need to protect?	In risk management, which concept reflects something a (100	? security practitioner might need to protect?	QY) Asset	Likelihood	Likelihood	An asset is anything with value, and a security practitioner may need to protect assets. In risk management concepts, what is something or someone ” 2 that poses risk to an organization or asset?	{{c1::Likelihood}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-51-59.png
? security practitioner might need to protect?	In risk management, which concept reflects something a (100	? security practitioner might need to protect?	In risk management concepts, what is something or someone ”	2 that poses risk to an organization or asset?	In risk management, which concept reflects something a (100	A threat is something or someone that poses risk to the organization; this is the definition of a threat. Of the follawina which would nrahahlv NOT he conciderad a “™ “™~	{{c1::In risk management, which concept reflects something a (100}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-52-03.png
Of the following, which would probably NOT be considered a (100 (#)	Of the following, which would probably NOT be considered a (100 (#)	°° threat? v	3) A laptop with sensitive data on it	An external attacker trying to gain unauthorized access to the environment	An external attacker trying to gain unauthorized access to the environment	A laptop, and the data on it, are assets, not threats. All the other answers are examples of threats because they all have the potential to cause adverse impact to the organization and its assets. > Which of the following probably poses the MOST risk? ~) (~) vy Conect Score Seconds	{{c1::An external attacker trying to gain unauthorized access to the environment}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-52-13.png
> Which of the following probably poses the MOST risk? ~) (~) vy	bauer pee cancrs	> Which of the following probably poses the MOST risk? ~) (~) vy	3) A high-likelihood, high-impact event	A high-likelihood, low-impact event	A high-likelihood, low-impact event	An event that has a significant probability of occurring (""high-likelinood"") and also has a severe negative consequence (high-impact) poses the most risk. 9 Within the organization, who can identify risk? (®) 33 wy) Incorrect Score Seconds	{{c1::A high-likelihood, low-impact event}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-52-21.png
What concent does Kerpak's solution demonstrate?	9 Within the organization, who can identify risk? (®)	Any security team member	Senior management	The security manager	9 Within the organization, who can identify risk? (®)	Anyone within the organization can identify risk. Kerpak works in the security office of a medium-sized entertainment company. Kerpak is asked to assess a particular threat, and he suggests that the best way to counter this threat > would be to purchase and implement a particular security	{{c1::9 Within the organization, who can identify risk? (®)}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-52-26.png
What concept does Kerpak's solution demonstrate?	Kerpak works in the security office of a medium-sized	threat, and he suggests that the best way to counter this threat	> would be to purchase and implement a particular security 58	What concept does Kerpak's solution demonstrate?	Kerpak works in the security office of a medium-sized	Applying a security solution (a type of control) is an example of mitigation.	{{c1::Kerpak works in the security office of a medium-sized}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-52-49.png
	Fill in the missing word:	Sophia is visiting Las Vegas and decides to put a bet ona 2	? particular number on a roulette wheel. Nay, v	This is an example of .	Avoidance	Sophia is accepting the risk that the money will be lost, even though the likelihood is high; Sophia has decided that the potential benefit (winning the bet), while low in likelihood, is worth the risk.	{{c1::Avoidance}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-52-54.png
What concept does this demonstrate?	Phrenal is selling a used laptop in an online auction. Phrenal has	2 or more, but is prepared to take less for it if nobody bids that	What concept does this demonstrate?	Risk inversion	Threat	Phrenal has decided there is an acceptable level of risk associated with the online sale of the laptop; this is within Phrenal's risk tolerance.	{{c1::Threat}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-53-01.png
Which type of control is this? cones	What concept does this demonstrate?	A software firewall is an application that runs on a device and	prevents specific types of traffic from entering that device. ©)	Which type of control is this? cones	What concept does this demonstrate?	A software firewall is a technical control because it is a part of the IT environment.	{{c1::What concept does this demonstrate?}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-53-06.png
Which type of control does this exemplify?	At the airport, there are red lines painted on the ground next to	the runway, which prohibits traffic from crossing it. 8 3	Which type of control does this exemplify?	Administrative	Technical	Ared line that is painted on the ground at the airport to prohibit traffic from crossing it is a physical control, like a stop sign on the roadway is. A bollard is a post set securely in the ground in order to prevent a vehicle from entering an area or driving past a certain point. aan aN	{{c1::Technical}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-53-12.png
Bollards are an example of which type of control?	A bollard is a post set securely in the ground in order to prevent a	vehicle from entering an area or driving past a certain point.	Bollards are an example of which type of control?	Administrative	Technical	A bollard is a tangible object that prevents a physical act from occurring; this is a physical control. Druna is a security practitioner tasked with ensuring that laptops are not stolen fram the oraanization's offices.	{{c1::Technical}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-53-15.png
Which kind of security control would probably be BEST for this Incorrect Score ‘seconds	Druna is a security practitioner tasked with ensuring that laptops	Because laptops are tangible objects, and Druna is trying to ensure that these objects are not moved from a	certain place, physical controls are probably best for the purpose.		Druna is a security practitioner tasked with ensuring that laptops	Because laptops are tangible objects, and Druna is trying to ensure that these objects are not moved from a certain place, physical controls are probably best for the purpose.	{{c1::Druna is a security practitioner tasked with ensuring that laptops}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-53-18.png
What kind of control is this instruction?	Triffid Corporation has a policy that all employees must receive	security awareness instruction before using email; the company	? that the employees might receive via email. (4) v	What kind of control is this instruction?	Finite	Both the policy and the instruction are administrative controls; rules and governance are administrative.	{{c1::Finite}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-53-24.png
What kind of document is the Common Body of Knowledge?	security practitioners should be familiar with; this is recognized	Common Body of Knowledge.	What kind of document is the Common Body of Knowledge?	Policy	security practitioners should be familiar with; this is recognized	The Common Body of Knowledge is used throughout the industry, recognized among many people, countries and organizations. This is a standard.	{{c1::security practitioners should be familiar with; this is recognized}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-53-30.png
What kind of document is the Common Body of Knowledge?	Vommmnen peay oF Knowieuge.	What kind of document is the Common Body of Knowledge?	The city of San Jose wants to ensure that all of its citizens are	protected from malware, so the city council creates a rule that	Vommmnen peay oF Knowieuge.	The city council is a governmental body making a legal mandate; this is a law.	{{c1::Vommmnen peay oF Knowieuge.}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-53-37.png
What kind of document is this?	The Triffid Corporation publishes a strategic overview of the	company's intent to secure all the data the company possesses.	What kind of document is this?	Policy	The Triffid Corporation publishes a strategic overview of the	This is an internal, strategic document, and is therefore a policy. Fill in the missing words:	{{c1::The Triffid Corporation publishes a strategic overview of the}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-53-42.png
	San Jose municipal code requires that all companies operating	Jose city limits.	The municipal code is a , and the Triffid checklist is a	Law, procedure	San Jose municipal code requires that all companies operating	The municipal code was created by a governmental body and is a legal mandate; this is a law. The Triffid checklist is a detailed set of actions which must be used by Triffid employees in specific circumstances; this	{{c1::San Jose municipal code requires that all companies operating}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-53-46.png
Which of the following describes this set of rules?	The Payment Card Industry (PCI) Council is a committee made up of	Express) in the United States.	The PCI Council issues rules that merchants must follow if the merchants choose	and how to protect personal data of customers.	The Payment Card Industry (PCI) Council is a committee made up of	This set of rules is known as the Data Security Standard, and it is accepted throughout the industry. 4a5dcBobostab 120% vy CRO}	{{c1::The Payment Card Industry (PCI) Council is a committee made up of}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-54-16.png
What should Hoshi do?	Triffid needs a new firewall solution, and Hoshi is asked to recommend a product	9 for Triffid to acquire and implement. Hoshi's cousin works for a firewall vendor; ®) -100 Vv	What should Hoshi do?	Disclose the relationship, but recommend the vendor/product	Triffid needs a new firewall solution, and Hoshi is asked to recommend a product	According to the third Canon of the ISC2 Code of Ethics, members are required to provide diligent and competent service to principals. Hoshi's principal here is Triffid, Hoshi's employer. It would be inappropriate for Hoshi to select the cousin's product solely based upon the family relationship; however, if the cousin's product is, in fact, the best choice for Triffid, then Hoshi should recommend that product. In order to avoid any appearance of impropriety or favoritism, Hoshi needs to declare the relationship when making the recommendation.	{{c1::Triffid needs a new firewall solution, and Hoshi is asked to recommend a product}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-54-20.png
What should Olaf do?	During an audit, Olaf is asked whether Triffid is currently following a particular	security practice. Olaf knows that Triffid is not adhering to that standard in that	What should Olaf do?	Ask supervisors for guidance	During an audit, Olaf is asked whether Triffid is currently following a particular	The ISC2 Code of Ethics requires that members act honorably, honestly, justly, responsibly, and also advance and protect the profession. Both requirements dictate that Olaf should tell the truth to the auditors. While the Code also says that Olaf should provide diligent and competent service to principals, and Olaf's principal is Triffid in this case, lying does not serve Triffid's best long-term interests, even if the truth has some negative impact in the short term.	{{c1::During an audit, Olaf is asked whether Triffid is currently following a particular}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-54-26.png
What should Aphrodite do?	Cc 0 6 &	Aphrodite is reviewing user log data, Aphrodite discovers that another Triffid	employee is violating the acceptable use policy and watching streaming videos	? during work hours. s v	Nothing	Aphrodite is required by the ISC2 Code of Ethics to provide diligent and competent service to principals. This includes reporting policy violations to Triffid management (Triffid is the principal, in this case). A policy violation of this type is not a crime, so law enforcement does not need to be involved, and ISC2 has no authority over Triffid policy enforcement or employees. Glena is an ISC2 member. Glena receives an email from a company offering a set of answers for an ISC2 certification exam. CO beon	{{c1::Nothing}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-54-29.png
What should Glena do? correct seconds	> ication exam. YX (5) U	Inform Glena’s employer	Inform law enforcement	Nothing	Inform law enforcement	The ISC2 Code of Ethics requires that members advance and protect the profession; this includes protecting test security for ISC2 certification material. ISC2 (and every ISC2 member) has a vested interest in protecting test material, and countering any entity that is trying to undermine the validity of the certifications. This is, however, not a matter for law enforcement; if it turns out that law enforcement must be involved, ISC2 will initiate that Glena's employer has no bearing on this matter.	{{c1::Inform law enforcement}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-54-38.png
Which of the followina does this scenario exemplifv?	Cc 0 6 &	You are reviewing log data from a router; there is an entry showing that a user sent	traffic through the router at 11:45 a.m., local time, yesterday.	Which of the following does this exemplify?	Incident	The example describes an event, which is any observable occurrence within the IT environment. (Any observable occurrence in a network or system. (Source: NIST SP 800-61 Rev 2) An attacker outside the organization attempts to gain access to the organization's	{{c1::Incident}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-54-41.png
Which of the following does this scenario exemplify? Comrece Score Seconds	Which of the following does this exemplify? — ~~ —	An attacker outside the organization attempts to gain access to the organization's	internal files.	? © v	Publication	An intrusion is an attempt (successful or otherwise) to gain unauthorized access. > Who approves the incident response policy? ®) 3 (@) Vv lncorrect Score Seconds	{{c1::Publication}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-54-44.png
Which of the following are NOT typically involved in incident detection? 28	Which of the following does this scenario exemplify? cones soe	Who approves the incident response policy? ®) 3	The investors	The security manager	Which of the following does this scenario exemplify? cones soe	The organization's senior management are the only entities authorized to accept risk on behalf of the organization, and therefore all organizational policies must be approved by senior management.	{{c1::Which of the following does this scenario exemplify? cones soe}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-54-48.png
> Which of the following is likely to be included in the business continuity plan?	Automated Tools	Security Analysis	Typically, regulators do not detect incidents nor alert organizations to the existence of incidents.		Automated Tools	Typically, regulators do not detect incidents nor alert organizations to the existence of incidents. 2 What is the goal of Business Continuity efforts? > Which of the following is likely to be included in the business continuity plan?	{{c1::Automated Tools}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-54-52.png
> Which of the following is likely to be included in the business continuity plan? -100 Vv	Ensure all IT systems continue to operate	Impress customers	Keep critical business functions operational	Save money	Ensure all IT systems continue to operate	Business Continuity efforts are about sustaining critical business functions during periods of potential interruption, such as emergencies, incidents, and disasters. > Which of the following is likely to be included in the business continuity plan? -100 Vv lncowect Score seconds	{{c1::Ensure all IT systems continue to operate}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-54-55.png
> Which of the following is likely to be included in the business continuity plan? ®) -100 Vv	Alternate work areas for personnel affected by a natural disaster	Last year’s budget information	Log data from all systems	The organization's strategic security approach	Alternate work areas for personnel affected by a natural disaster	The business continuity plan should include provisions for alternate work sites, if the primary site is affected by an interruption, such as a natural disaster. > What is the MOST important goal of a business continuity effort?	{{c1::Alternate work areas for personnel affected by a natural disaster}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-54-58.png
> Which of the following is likely to be included in the business continuity plan? -100 Vv	Ensure all business activities are preserved during a potential disaster	Ensure all IT systems function during a pote:	Ensure the organization survives a disaster	Preserve health and human safety	Ensure all business activities are preserved during a potential disaster	In all security efforts, preserving health and human safety is paramount and takes precedence over anything else. > What is the overall objective of a disaster recovery (DR) effort? ~Y) (*) Vv	{{c1::Ensure all business activities are preserved during a potential disaster}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-55-01.png
What is the risk associated with delaying resumption of full normal operations () aad)	conect	Enhance public perception of the organization	Preserve critical business functions during a disaster	Q Return to normal, full operations	Save money	DR efforts are intended to return the organization to normal, full operations.	{{c1::Save money}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-55-04.png
What is the risk associated with resuming full normal operations too soon after a (>	What is the risk associated with resuming full normal operations too soon after a (>	2 DReffort? (we) S)	Investors might be upset	Regulators might disapprove	The organization could save money	Resuming full normal operations too soon after a disaster might mean personnel are put in danger by whatever affects the disaster caused.	{{c1::The organization could save money}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-55-06.png
What is the risk associated with resuming full normal operations too soon after a	What is the risk associated with resuming full normal operations too soon after a	What is the risk associated with delaying resumption of full normal operations	Anew disaster might emerge	People might be put in danger	What is the risk associated with resuming full normal operations too soon after a	Alternate operations are typically more costly than normal operations, in terms of impact to the organization; extended alternate operations could harm the organization as much as a disaster. Gelbi is a Technical Support analyst for Triffid, Inc. Gelbi sometimes is required to install or remove software.	{{c1::What is the risk associated with resuming full normal operations too soon after a}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-55-09.png
What is the risk associated with delaying resumption of full normal operations	What is the risk associated with delaying resumption of full normal operations	Gelbi is a Technical Support analyst for Triffid, Inc. Gelbi sometimes is required to	install or remove software. 2	comect	What is the risk associated with delaying resumption of full normal operations	A privileged account is an account that typically needs greater permissions than a basic user. Guillermo logs on to a system and opens a document file. Guillermo is an example	{{c1::What is the risk associated with delaying resumption of full normal operations}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-55-11.png
Which of the following could be used to describe Gelbi's account? cones soe	Gelbi is a Technical Support analyst for Triffid, Inc. Gelbi sometimes is required to	Which of the following could be used to describe Gelbi's account? cones soe	Guillermo logs on to a system and opens a document file. Guillermo is an example	The object	Gelbi is a Technical Support analyst for Triffid, Inc. Gelbi sometimes is required to	Guillermo is the subject when he logs on to the system and opens a file.	{{c1::Gelbi is a Technical Support analyst for Triffid, Inc. Gelbi sometimes is required to}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-55-14.png
Which of the following is NOT an appropriate control to add to privileged	Guillermo logs on to a system and opens a document file. Guillermo is an example	Which of the following is NOT an appropriate control to add to privileged	Increased auditing	Increased logging	Guillermo logs on to a system and opens a document file. Guillermo is an example	Privileged account holders usually are not asked for security deposits. Prachi works as a database administrator for Triffid, Inc. Prachi is allowed to add or delete users, but is not allowed to read or modify the data in the database itself. When Prachi logs on to the system, an access control list (ACL) checks to 2 determine which permissions he has. *	{{c1::Guillermo logs on to a system and opens a document file. Guillermo is an example}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-55-17.png
Which of the following is NOT an appropriate control to add to privileged ‘6 an	Which of the following is NOT an appropriate control to add to privileged ‘6 an	Prachi works as a database administrator for Triffid, Inc. Prachi is allowed to add or	delete users, but is not allowed to read or modify the data in the database itself.	When Prachi logs on to the system, an access control list (ACL) checks to	Which of the following is NOT an appropriate control to add to privileged ‘6 an	The ACL, in this case, acts as the rule in the subject-object-rule relationship. It determines what Prachi is allowed to do, and what Prachi is not permitted to do. Prachi works as a database administrator for Triffid, Inc. Prachi is allowed to add or	{{c1::Which of the following is NOT an appropriate control to add to privileged ‘6 an}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-55-20.png
When Prachi logs on to the system, an access control list (ACL) checks to	Prachi works as a database administrator for Triffid, Inc. Prachi is allowed to add or	delete users, but is not allowed to read or modify the data in the database itself.	When Prachi logs on to the system, an access control list (ACL) checks to	In this situation, Prachi represents what?	Prachi works as a database administrator for Triffid, Inc. Prachi is allowed to add or	Prachi is the subject in the subject-object-rule relationship. Prachi manipulates the database; this makes Prachi the subject. Larry and Fern both work in the data center. In order to enter the data center to begin their workday, they must both present their own keys (which are different) > tothe key reader, before the door to the data center opens. 19	{{c1::Prachi works as a database administrator for Triffid, Inc. Prachi is allowed to add or}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-55-23.png
2 Which of the following is a biometric access control mechanism?	Cc 0 6 &	In this situation, Prachi represents what?	Larry and Fern both work in the data center. In order to enter the data center to	to the key reader, before the door to the data center opens. Vv	Cc 0 6 &	This is an example of dual control, where two people, each with distinct authentication factors, must be present to perform a 2 Which of the following is a biometric access control mechanism? asdcsoboatah 120% 94o8	{{c1::Cc 0 6 &}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-55-26.png
Which of the following is the BEST recommendation for all individuals visiting a	to the key reader, before the door to the data center opens.	Which security concept is being applied in this situation?	Which of the following is a biometric access control mechanism?	Abadge reader	A fence with razor tape on it	A lock that opens according to a persona's voice is a type of biometric access control.	{{c1::A fence with razor tape on it}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-55-29.png
Which of the following is the BEST recommendation for all individuals visiting a	> Which of the following is a biometric access control mechanism?	Which of the following is the BEST recommendation for all individuals visiting a	Escort visitors	Fingerprint visitors	> Which of the following is a biometric access control mechanism?	Ina secure facility, visitors should be escorted by an authorized person. All of the following are typically perceived as drawbacks to biometric systems,	{{c1::> Which of the following is a biometric access control mechanism?}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-55-32.png
> Which of the following is a record of something that has occurred? C) (400) 24	All of the following are typically perceived as drawbacks to biometric systems,	Potential privacy concerns	Retention of physiological data past the point of employment	Biometric systems can be extremely accurate, especially when compared with other types of access controls.	All of the following are typically perceived as drawbacks to biometric systems,	Biometric systems can be extremely accurate, especially when compared with other types of access controls. attempt taken Comect A human guard monitoring a hidden camera could be considered which type of YX > Which of the following is a record of something that has occurred? C) (400) 24	{{c1::All of the following are typically perceived as drawbacks to biometric systems,}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-55-35.png
2 Which of the following is a record of something that has occurred? ~Y)	- mo Ww A	2? control?	A human guard monitoring a hidden camera could be considered which type of 2	Q)_ Detective	Deterrent	The guard monitoring the camera can identify anomalous or dangerous activity; this is a detective control. 2 Which of the following is a record of something that has occurred? ~Y) Mila works for a government agency. All data in the agency is assigned a particular	{{c1::Deterrent}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-55-37.png
2 Which of the following is a record of something that has occurred? ~Y) wy	A human guard monitoring a hidden camera could be considered which type of 2	2? control? v	2 Which of the following is a record of something that has occurred? ~Y) wy	Biometric	A human guard monitoring a hidden camera could be considered which type of 2	The description of a log is a record of something that has occurred. Mila works for a government agency. All data in the agency is assigned a particular	{{c1::A human guard monitoring a hidden camera could be considered which type of 2}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-55-41.png
